gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
306,157,149,114,3.15,0,3,northeastern_university,accept,15
313,164,149,110.0,2.9,7,0,northeastern_university,accept,15
309,162,147,101,3.8,0,0,northeastern_university,accept,15
317,169,148,75.0,2.88,26,2,northeastern_university,accept,15
315,162,153,109.0,3.89,1,0,northeastern_university,accept,15
318,161,157,114,3.26,33,0,northeastern_university,accept,15
309,160,149,75.0,3.37,30,0,northeastern_university,accept,15
327,168,159,0,3.74,0,0,northeastern_university,accept,15
299,148,151,75.0,2.62,55,0,northeastern_university,accept,15
321,167,154,109.0,3.0,0,0,northeastern_university,accept,15
319,162,157,106.0,3.34,36,0,northeastern_university,accept,15
317,163,154,118.0,3.5,15,2,northeastern_university,accept,15
328,170,158,114.0,2.99,17,0,northeastern_university,accept,15
318,168,150,100.0,3.08,14,0,northeastern_university,accept,15
331,165,166,115.0,2.35,46,0,northeastern_university,accept,15
310,156,154,105.0,3.38,5,3,northeastern_university,accept,15
327,164,163,117.0,3.28,16,0,northeastern_university,accept,15
309,160,149,101,3.5,24,3,northeastern_university,accept,15
317,165,152,114.0,2.64,24,0,northeastern_university,accept,15
313,164,149,75.0,3.57,12,0,northeastern_university,accept,15
314,159,155,111.0,2.7,52,0,northeastern_university,accept,15
321,170,151,100.0,3.36,3,0,northeastern_university,accept,15
318,163,155,109.0,2.4,49,0,northeastern_university,accept,15
318,163,155,114.0,2.94,24,0,northeastern_university,accept,15
315,160,155,75.0,3.01,13,0,northeastern_university,accept,15
313,169,144,100.0,3.07,20,0,northeastern_university,accept,15
317,166,151,102.0,3.5,13,0,northeastern_university,accept,15
312,160,152,107.0,2.96,17,0,northeastern_university,accept,15
326,165,161,100.0,2.84,0,0,northeastern_university,accept,15
320,161,159,113.0,2.7,82,0,northeastern_university,accept,15
316,162,154,107.0,3.19,4,3,northeastern_university,accept,15
322,167,155,108.0,3.16,60,0,northeastern_university,accept,15
325,169,156,112.0,3.38,5,0,northeastern_university,accept,15
318,163,155,108.0,3.32,18,0,northeastern_university,accept,15
318,170,148,101.0,3.25,7,0,northeastern_university,accept,15
308,163,145,75.0,3.1,12,0,northeastern_university,accept,15
313,163,150,101,3.0,18,0,northeastern_university,accept,15
327,164,163,111.0,3.46,22,0,northeastern_university,accept,15
312,163,149,105.0,2.7,22,2,northeastern_university,accept,15
327,170,157,104.0,3.53,18,0,northeastern_university,accept,15
315,161,154,107.0,2.3,36,0,northeastern_university,accept,15
325,159,166,115.0,3.48,1,0,northeastern_university,accept,15
309,164,145,105.0,3.59,2,0,northeastern_university,accept,15
333,168,165,114.0,3.61,2,0,northeastern_university,accept,15
317,162,155,111.0,3.24,1,0,northeastern_university,accept,15
329,166,163,114.0,3.25,3,0,northeastern_university,accept,15
319,168,151,106.0,2.05,38,0,northeastern_university,accept,15
321,163,158,110.0,3.37,6,0,northeastern_university,accept,15
315,164,151,103.0,3.81,32,0,northeastern_university,accept,15
322,166,156,103.0,3.23,28,0,northeastern_university,accept,15
323,170,153,112.0,3.29,12,3,northeastern_university,accept,15
308,158,150,106.0,3.08,0,0,northeastern_university,accept,15
317,164,153,101.0,3.71,50,0,northeastern_university,accept,15
316,165,151,93.0,3.37,52,3,northeastern_university,accept,15
