,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status
138,319,164,155,114.0,3.23,60,0,reject
139,311,162,149,114,2.71,18,0,reject
140,303,158,145,99.0,3.86,12,0,reject
141,314,162,152,106.0,3.36,6,0,reject
142,319,166,153,91.0,3.14,0,3,reject
143,317,166,151,105.0,3.23,8,0,reject
144,318,165,153,95.0,3.14,30,0,reject
145,307,160,147,95.0,2.25,60,0,reject
146,311,163,148,101,3.68,24,3,reject
147,312,166,146,99.0,2.6,27,0,reject
148,303,142,161,101,3.7,19,0,reject
149,313,160,153,0,3.36,0,0,reject
150,313,163,150,0,3.08,0,0,reject
151,314,162,152,105.0,2.9,2,0,reject
152,288,153,135,79.0,2.94,19,3,reject
153,303,157,146,101,3.1,23,0,reject
154,312,166,146,93.0,3.31,55,0,reject
155,319,165,154,110.0,3.88,1,3,reject
156,313,169,144,100.0,2.96,3,0,reject
157,317,169,148,96.0,2.98,24,3,reject
158,313,162,151,102.0,3.12,1,0,reject
159,308,160,148,0,2.84,1,0,reject
160,310,163,147,0,3.24,14,3,reject
161,315,166,149,98.0,3.36,1,3,reject
162,322,165,157,111.0,2.15,20,0,reject
163,312,164,148,97.0,3.65,27,3,reject
164,310,160,150,97.0,3.51,41,0,reject
165,322,161,161,109.0,2.9,7,1,reject
166,312,147,165,106.0,2.75,15,3,reject
167,312,147,165,106.0,2.75,15,3,reject
168,320,164,156,0,2.55,51,0,reject
169,313,165,148,75.0,3.09,0,0,reject
170,316,163,153,110.0,3.56,23,0,reject
171,300,156,144,93.0,3.62,24,0,reject
172,321,167,154,113.0,2.1,24,0,reject
173,323,163,160,110.0,2.96,0,0,reject
174,301,153,148,95.0,1.82,12,3,reject
175,313,163,150,96.0,3.44,28,0,reject
176,310,165,145,104.0,2.96,5,0,reject
177,303,158,145,101.0,3.62,0,3,reject
178,311,161,150,101.0,3.36,0,0,reject
179,304,156,148,102.0,3.05,42,0,reject
180,323,156,167,107.0,3.02,36,0,reject
181,308,160,148,103.0,3.42,24,0,reject
182,308,160,148,103.0,3.42,24,0,reject
183,307,162,145,105.0,2.13,4,3,reject
184,304,160,144,99.0,3.6,0,0,reject
185,315,164,151,108.0,3.17,8,0,reject
186,315,161,154,112.0,2.36,12,3,reject
187,313,161,152,110.0,3.05,4,0,reject
188,318,167,151,104.0,3.12,13,0,reject
189,308,156,152,0,2.77,28,0,reject
190,306,154,152,109.0,3.41,0,0,reject
191,314,161,153,100.0,2.2,0,0,reject
192,319,164,155,112.0,2.6,5,0,reject
193,310,158,152,96.0,2.54,1,3,reject
194,304,160,144,99.0,3.1,2,0,reject
195,310,161,149,0,3.52,0,0,reject
196,320,167,153,0,3.04,1,2,reject
197,312,163,149,107.0,3.42,30,0,reject
198,318,163,155,110.0,3.33,51,0,reject
199,313,161,152,0,2.53,17,0,reject
200,310,159,151,103.0,3.31,15,3,reject
201,314,161,153,0,2.83,17,3,reject
202,310,158,152,96.0,2.25,33,0,reject
203,316,168,148,98.0,3.04,16,2,reject
204,319,169,150,101.0,3.03,8,0,reject
205,320,162,158,0,2.8,31,0,reject
206,309,160,149,106.0,3.15,26,0,reject
207,319,166,153,97.0,3.42,21,0,reject
208,315,163,152,103.0,3.24,40,3,reject
209,303,158,145,94.0,2.6,35,0,reject
210,318,168,150,107.0,3.27,1,0,reject
211,305,155,150,114,2.98,0,0,reject
212,317,168,149,102.0,2.98,3,0,reject
213,325,170,155,105.0,3.3,24,0,reject
214,307,160,147,75.0,3.48,11,0,reject
215,314,163,151,104.0,3.31,0,1,reject
216,307,161,146,112.0,3.53,36,3,reject
217,315,160,155,75.0,3.33,42,0,reject
218,303,154,149,104.0,3.17,5,0,reject
219,314,164,150,92.0,2.6,18,0,reject
220,313,165,148,0,2.58,10,2,reject
221,314,164,150,105.0,3.31,1,3,reject
222,310,163,147,0,3.24,14,3,reject
223,315,166,149,98.0,3.36,1,3,reject
224,314,163,151,114.0,2.27,18,0,reject
225,312,164,148,97.0,3.65,27,3,reject
226,310,160,150,97.0,3.51,41,0,reject
227,306,157,149,107.0,2.61,11,0,reject
228,312,147,165,106.0,2.75,15,3,reject
229,312,147,165,106.0,2.75,15,3,reject
230,320,164,156,0,2.55,51,0,reject
231,304,156,148,104.0,2.7,25,0,reject
232,316,163,153,110.0,3.56,23,0,reject
233,300,156,144,93.0,3.62,24,0,reject
234,321,167,154,113.0,2.1,24,0,reject
235,301,153,148,95.0,1.82,12,3,reject
236,313,163,150,96.0,3.44,28,0,reject
237,311,161,150,111.0,2.69,24,0,reject
238,303,158,145,101.0,3.62,0,3,reject
239,311,161,150,101.0,3.36,0,0,reject
240,306,157,149,102.0,2.1,0,3,reject
241,323,156,167,107.0,3.02,36,0,reject
242,308,160,148,103.0,3.42,24,0,reject
243,308,160,148,103.0,3.42,24,0,reject
244,311,162,149,104.0,2.45,0,0,reject
245,304,160,144,99.0,3.6,0,0,reject
246,315,164,151,108.0,3.17,8,0,reject
247,315,161,154,112.0,2.36,12,3,reject
248,314,166,148,103.0,2.85,18,3,reject
249,318,167,151,104.0,3.12,13,0,reject
250,308,156,152,0,2.77,28,0,reject
251,306,154,152,109.0,3.41,0,0,reject
252,322,167,155,107.0,2.86,27,3,reject
253,319,164,155,112.0,2.6,5,0,reject
254,310,158,152,96.0,2.54,1,3,reject
255,304,160,144,99.0,3.1,2,0,reject
256,312,160,152,0,3.06,0,3,reject
257,320,167,153,0,3.04,1,2,reject
