,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status
608,307,160,147,102.0,2.5,30,0,reject
609,313,163,150,104.0,2.15,74,0,reject
610,312,162,150,107.0,2.88,20,0,reject
611,308,157,151,113.0,2.25,29,0,reject
612,311,158,153,102.0,2.15,14,3,reject
613,311,160,151,96.0,3.08,2,0,reject
614,320,166,154,108.0,3.11,20,0,reject
615,309,161,148,98.0,1.06,2,0,reject
616,308,159,149,82.0,3.64,0,0,reject
617,310,162,148,94.0,3.05,37,0,reject
618,308,158,150,94.0,3.4,12,0,reject
619,315,165,150,96.0,3.05,9,0,reject
620,309,162,147,94.0,3.01,18,0,reject
621,309,162,147,94.0,3.01,18,0,reject
622,307,158,149,107.0,2.28,40,0,reject
623,305,160,145,89.0,2.37,21,3,reject
624,307,155,152,97.0,2.4,17,3,reject
625,318,161,157,103.0,2.39,36,0,reject
626,303,162,141,91.0,3.07,17,0,reject
627,309,155,154,95.0,2.35,18,0,reject
628,310,157,153,110.0,2.35,38,0,reject
629,311,153,158,108.0,2.15,36,3,reject
630,305,160,145,90.0,3.23,30,0,reject
631,305,156,149,102.0,3.35,0,0,reject
632,319,167,152,93.0,3.44,3,0,reject
633,313,166,147,0,1.99,29,0,reject
634,301,157,144,93.0,2.6,5,0,reject
635,310,163,147,75.0,3.18,0,0,reject
636,294,153,141,83.0,2.18,78,0,reject
637,294,153,141,83.0,2.18,78,0,reject
638,315,167,148,93.0,3.0,2,0,reject
639,308,161,147,104.0,2.1,3,0,reject
640,315,163,152,103.0,2.85,44,0,reject
641,315,162,153,106.0,2.3,60,0,reject
642,314,165,149,110.0,3.24,0,0,reject
643,318,167,151,100.0,3.47,1,0,reject
644,300,156,144,102.0,2.15,20,0,reject
645,310,161,149,95.0,3.41,19,0,reject
646,309,160,149,105.0,2.62,15,1,reject
647,302,153,149,89.0,3.32,24,0,reject
648,307,162,145,93.0,2.54,16,0,reject
649,328,165,163,110.0,2.6,60,0,reject
650,316,167,149,89.0,2.75,19,0,reject
651,307,161,146,91.0,3.39,18,0,reject
652,311,165,146,96.0,2.5,5,0,reject
653,311,165,146,96.0,2.5,5,0,reject
654,312,161,151,95.0,3.04,0,0,reject
655,317,165,152,111.0,3.25,6,0,reject
656,294,157,137,87.0,2.75,60,0,reject
657,317,163,154,112.0,3.6,21,2,reject
658,311,162,149,92.0,3.14,0,0,reject
659,308,163,145,90.0,2.27,0,1,reject
660,311,162,149,112.0,3.16,1,0,reject
661,303,158,145,91.0,2.5,4,2,reject
662,320,170,150,103.0,3.06,32,0,reject
663,320,167,153,103.0,3.28,18,0,reject
664,298,161,137,90.0,2.85,21,0,reject
665,307,163,144,94.0,2.2,0,2,reject
666,313,164,149,108.0,2.16,32,3,reject
667,305,161,144,89.0,2.36,55,0,reject
668,323,166,157,112.0,2.5,5,3,reject
669,311,168,143,91.0,3.56,8,3,reject
670,303,159,144,88.0,2.87,36,0,reject
671,321,170,151,105.0,3.47,7,3,reject
672,311,160,151,105.0,2.1,32,2,reject
673,305,158,147,105.0,2.89,2,0,reject
674,314,165,149,93.0,2.76,42,0,reject
675,314,165,149,94.0,2.73,45,0,reject
676,307,158,149,97.0,3.34,0,0,reject
677,310,159,151,107.0,3.55,44,0,reject
678,308,164,144,94.0,2.52,36,3,reject
679,299,156,143,100.0,2.4,29,0,reject
680,308,160,148,100.0,1.8,0,2,reject
681,313,159,154,113.0,3.46,24,0,reject
682,319,170,149,93.0,2.4,8,3,reject
683,328,167,161,113.0,2.37,35,2,reject
684,313,163,150,99.0,2.82,25,0,reject
685,316,164,152,97.0,2.92,9,0,reject
686,310,158,152,109.0,2.3,21,3,reject
687,308,159,149,104.0,3.45,3,3,reject
688,323,164,159,109.0,3.41,1,0,reject
689,316,170,146,104.0,3.6,18,3,reject
690,309,163,146,90.0,3.26,6,0,reject
691,311,161,150,92.0,2.92,44,0,reject
692,321,167,154,112.0,3.02,30,0,reject
693,306,161,145,98.0,2.21,36,0,reject
694,317,162,155,102.0,1.85,14,2,reject
695,330,167,163,115.0,2.1,19,0,reject
696,301,159,142,84.0,2.4,36,0,reject
697,304,156,148,107.0,2.65,28,0,reject
698,308,162,146,89.0,3.12,21,0,reject
699,308,161,147,90.0,3.36,54,0,reject
700,305,158,147,91.0,1.92,26,3,reject
701,308,159,149,104.0,2.64,14,2,reject
702,316,163,153,98.0,2.18,51,0,reject
703,316,163,153,98.0,2.18,51,0,reject
704,312,164,148,89.0,3.43,32,3,reject
705,309,166,143,95.0,1.34,33,0,reject
706,324,170,154,103.0,3.54,2,3,reject
707,320,170,150,101.0,2.74,46,3,reject
708,310,163,147,95.0,3.27,4,0,reject
709,318,165,153,104.0,3.42,14,2,reject
710,330,170,160,113.0,3.4,36,0,reject
711,317,162,155,104.0,2.17,77,0,reject
712,310,162,148,97.0,3.2,0,0,reject
713,300,158,142,96.0,3.58,69,0,reject
714,312,160,152,86.0,2.5,12,3,reject
715,322,165,157,109.0,2.45,16,1,reject
716,302,158,144,91.0,2.08,21,3,reject
717,317,164,153,102.0,2.15,0,0,reject
718,309,161,148,89.0,2.59,31,0,reject
719,313,168,145,95.0,1.9,7,1,reject
720,313,168,145,95.0,1.9,7,1,reject
721,309,161,148,106.0,2.1,53,0,reject
722,304,161,143,104.0,2.34,19,0,reject
723,317,166,151,93.0,2.0,0,0,reject
724,307,158,149,93.0,1.9,60,0,reject
725,321,161,160,114.0,2.72,0,0,reject
726,319,167,152,99.0,3.0,6,3,reject
727,322,168,154,102.0,2.5,2,0,reject
728,311,163,148,95.0,3.28,0,0,reject
729,315,167,148,99.0,2.82,8,3,reject
730,315,160,155,114.0,2.28,12,0,reject
731,316,170,146,100.0,3.2,25,0,reject
732,310,164,146,97.0,3.11,24,0,reject
733,303,162,141,87.0,3.41,36,0,reject
734,303,155,148,93.0,3.31,21,0,reject
735,308,164,144,96.0,3.2,0,3,reject
736,309,158,151,103.0,3.08,44,1,reject
737,309,158,151,103.0,3.08,44,1,reject
738,309,166,143,95.0,3.04,1,0,reject
739,315,166,149,75.0,3.45,47,0,reject
740,309,161,148,95.0,2.75,24,3,reject
741,309,161,148,96.0,2.78,20,3,reject
742,316,163,153,109.0,3.66,4,0,reject
743,323,169,154,105.0,3.13,24,0,reject
744,322,163,159,109.0,2.46,7,0,reject
745,304,162,142,97.0,3.36,15,3,reject
746,315,165,150,91.0,2.81,0,0,reject
747,318,166,152,100.0,2.36,19,3,reject
748,314,166,148,101.0,2.28,31,0,reject
749,307,162,145,92.0,3.74,30,0,reject
750,306,161,145,105.0,3.36,34,3,reject
751,307,163,144,107.0,3.08,30,2,reject
752,322,161,161,107.0,3.4,0,0,reject
753,316,165,151,99.0,3.03,16,0,reject
754,329,168,161,111.0,1.95,1,0,reject
755,305,159,146,93.0,2.1,78,0,reject
756,305,159,146,97.0,2.02,27,3,reject
757,321,166,155,105.0,2.91,5,0,reject
758,306,157,149,91.0,2.17,25,0,reject
759,304,149,155,88.0,2.36,46,0,reject
760,300,144,156,92.0,2.98,2,3,reject
761,330,170,160,111.0,2.6,8,0,reject
762,301,159,142,90.0,2.19,12,3,reject
763,310,161,149,93.0,3.14,0,0,reject
764,308,159,149,97.0,2.47,32,0,reject
765,322,168,154,101,3.22,15,0,reject
766,316,164,152,111.0,3.36,0,0,reject
767,327,168,159,114.0,3.51,2,3,reject
768,315,167,148,103.0,2.55,0,3,reject
769,310,168,142,101.0,2.76,42,3,reject
770,312,161,151,109.0,2.11,0,3,reject
771,321,167,154,105.0,2.3,46,0,reject
772,309,161,148,102.0,2.9,30,0,reject
773,315,168,147,101.0,3.1,0,0,reject
774,316,170,146,98.0,3.36,1,2,reject
775,310,162,148,91.0,3.05,25,0,reject
776,314,166,148,110.0,3.3,8,3,reject
777,318,160,158,106.0,2.59,50,3,reject
778,315,167,148,103.0,3.25,30,0,reject
779,318,167,151,110.0,2.62,0,0,reject
780,310,164,146,107.0,3.32,13,1,reject
781,330,167,163,114.0,2.88,28,0,reject
782,310,160,150,108.0,2.15,15,3,reject
783,308,164,144,103.0,3.63,2,3,reject
784,309,157,152,98.0,3.21,3,3,reject
785,309,157,152,98.0,3.21,3,3,reject
786,321,161,160,111.0,2.55,32,0,reject
787,308,160,148,65.0,3.24,19,0,reject
788,318,167,151,101.0,3.6,14,0,reject
789,320,169,151,114.0,3.53,12,3,reject
790,317,165,152,109.0,2.8,23,0,reject
791,305,158,147,106.0,2.51,48,0,reject
792,315,161,154,107.0,2.2,24,0,reject
793,312,163,149,105.0,2.96,2,0,reject
794,314,166,148,93.0,3.32,0,0,reject
795,319,164,155,106.0,3.52,1,3,reject
796,323,154,169,103.0,3.14,3,0,reject
797,313,161,152,96.0,2.25,10,0,reject
798,315,164,151,103.0,2.0,30,3,reject
799,304,156,148,105.0,2.27,132,0,reject
800,319,166,153,105.0,2.72,24,0,reject
801,307,161,146,104.0,3.33,24,0,reject
802,307,161,146,104.0,3.33,24,0,reject
803,315,161,154,104.0,3.42,2,0,reject
804,332,170,162,115.0,2.62,4,3,reject
805,309,160,149,99.0,2.61,1,0,reject
806,311,164,147,99.0,3.16,30,0,reject
807,307,158,149,96.0,2.65,0,0,reject
808,323,164,159,109.0,2.79,5,0,reject
809,312,163,149,105.0,2.95,29,0,reject
810,324,170,154,110.0,3.43,2,0,reject
811,319,163,156,105.0,2.8,0,0,reject
812,318,164,154,94.0,1.85,33,3,reject
813,311,163,148,101.0,3.56,0,0,reject
814,311,161,150,99.0,3.43,1,0,reject
815,322,168,154,109.0,3.43,36,3,reject
816,317,165,152,109.0,2.67,33,0,reject
817,313,167,146,97.0,2.58,18,0,reject
818,318,168,150,104.0,2.64,22,0,reject
819,318,168,150,104.0,2.64,22,0,reject
820,320,166,154,109.0,3.14,40,0,reject
821,319,167,152,0,2.7,0,0,reject
822,307,158,149,98.0,1.95,44,2,reject
823,311,161,150,92.0,2.75,18,0,reject
824,306,157,149,89.0,3.6,21,0,reject
825,323,165,158,112.0,2.2,40,0,reject
826,323,169,154,94.0,3.51,31,0,reject
827,306,158,148,100.0,2.65,18,0,reject
828,305,156,149,91.0,3.19,18,3,reject
829,310,163,147,101.0,3.08,0,0,reject
830,304,161,143,90.0,3.58,0,0,reject
831,313,168,145,94.0,3.19,3,0,reject
832,310,164,146,102.0,3.28,34,0,reject
833,318,167,151,102.0,2.27,40,0,reject
834,310,160,150,95.0,2.91,42,0,reject
835,302,160,142,75.0,2.25,3,0,reject
836,326,167,159,114.0,3.07,0,0,reject
837,314,162,152,100.0,3.42,2,3,reject
838,323,170,153,103.0,3.16,26,0,reject
839,323,170,153,109.0,3.37,16,0,reject
840,310,162,148,102.0,2.45,18,0,reject
841,331,164,167,114.0,2.75,19,0,reject
842,326,167,159,117.0,2.6,0,3,reject
843,326,167,159,109.0,3.4,0,2,reject
844,306,158,148,99.0,2.35,15,1,reject
845,318,164,154,113.0,2.4,30,3,reject
846,320,167,153,106.0,3.47,8,3,reject
847,309,165,144,97.0,2.99,22,0,reject
848,310,160,150,95.0,2.54,30,0,reject
849,308,159,149,92.0,3.6,1,0,reject
850,306,161,145,96.0,2.75,36,0,reject
851,303,160,143,89.0,3.32,24,0,reject
852,314,159,155,75.0,2.85,23,0,reject
853,318,168,150,106.0,1.88,18,3,reject
854,309,161,148,91.0,3.62,20,0,reject
855,312,163,149,100.0,3.73,16,1,reject
856,313,161,152,96.0,3.04,0,0,reject
857,310,163,147,104.0,2.76,2,0,reject
858,322,170,152,100.0,2.77,0,0,reject
859,318,165,153,109.0,2.05,55,0,reject
860,311,167,144,113.0,3.11,0,0,reject
861,324,167,157,112.0,2.96,39,0,reject
862,319,167,152,110.0,3.8,16,3,reject
863,327,170,157,115.0,3.04,12,0,reject
864,309,162,147,96.0,2.65,41,0,reject
865,323,161,162,107.0,3.33,22,2,reject
866,305,158,147,97.0,3.47,3,3,reject
867,310,160,150,110.0,2.36,18,0,reject
868,310,160,150,110.0,2.36,18,0,reject
869,317,165,152,104.0,2.02,17,0,reject
870,314,160,154,107.0,2.11,15,3,reject
871,312,162,150,98.0,2.06,19,3,reject
872,316,166,150,100.0,2.26,7,3,reject
873,317,161,156,108.0,1.9,14,0,reject
874,318,168,150,102.0,2.05,42,0,reject
875,318,163,155,107.0,2.58,36,0,reject
876,303,163,140,85.0,3.41,6,0,reject
877,290,149,141,84.0,2.7,48,0,reject
878,301,159,142,78,3.0,32,0,reject
879,302,154,148,100.0,3.25,24,0,reject
880,329,169,160,112.0,1.96,36,0,reject
881,306,163,143,93.0,3.13,42,0,reject
882,309,163,146,90.0,3.16,6,0,reject
883,305,161,144,89.0,3.09,12,0,reject
884,316,167,149,98.0,3.17,24,0,reject
885,316,167,149,98.0,3.17,24,0,reject
886,307,157,150,96.0,3.19,43,0,reject
887,311,163,148,85.0,3.05,24,0,reject
888,309,161,148,109.0,3.25,4,0,reject
889,308,157,151,104.0,3.2,20,0,reject
890,311,163,148,106.0,2.05,30,0,reject
891,316,163,153,103.0,2.14,9,3,reject
892,323,165,158,114.0,2.75,8,3,reject
893,311,155,156,101,3.16,18,0,reject
894,308,163,145,95.0,2.29,24,0,reject
895,303,165,138,91.0,3.45,18,0,reject
896,316,164,152,98.0,2.15,55,0,reject
897,312,162,150,99.0,2.72,6,0,reject
898,300,156,144,65.0,3.2,24,3,reject
899,312,164,148,94.0,2.8,24,1,reject
900,312,161,151,99.0,2.8,30,0,reject
901,299,158,141,83.0,2.45,30,0,reject
902,299,158,141,83.0,2.45,30,0,reject
903,301,157,144,88.0,2.92,0,0,reject
904,315,161,154,113.0,2.17,22,0,reject
905,318,166,152,94.0,2.5,11,0,reject
906,313,158,155,110.0,2.45,30,2,reject
907,302,156,146,94.0,3.4,17,0,reject
908,310,162,148,96.0,2.9,60,0,reject
909,306,164,142,83.0,3.12,38,0,reject
910,306,162,144,93.0,3.48,45,0,reject
911,319,166,153,101.0,2.5,6,0,reject
912,325,170,155,108.0,3.0,4,0,reject
913,312,158,154,100.0,3.0,41,0,reject
914,309,159,150,100.0,1.7,50,0,reject
915,313,164,149,107.0,3.02,36,0,reject
916,308,159,149,106.0,2.6,0,3,reject
917,304,158,146,93.0,2.98,0,0,reject
918,309,156,153,106.0,3.26,18,2,reject
919,315,165,150,110.0,3.24,24,0,reject
920,310,159,151,104.0,2.8,24,2,reject
921,316,164,152,104.0,2.65,70,0,reject
922,323,170,153,96.0,2.15,24,0,reject
923,301,154,147,103.0,2.35,8,0,reject
924,304,155,149,105.0,2.0,26,0,reject
925,314,161,153,106.0,3.1,30,0,reject
926,300,158,142,91.0,3.04,15,3,reject
927,308,156,152,97.0,3.03,24,0,reject
928,317,158,159,105.0,2.1,40,0,reject
929,313,163,150,106.0,2.85,0,0,reject
930,303,156,147,103.0,2.78,30,2,reject
931,323,167,156,110.0,3.17,0,0,reject
932,318,164,154,107.0,3.16,0,0,reject
933,323,162,161,108.0,2.6,59,0,reject
934,319,170,149,96.0,2.72,5,0,reject
935,309,162,147,96.0,3.42,22,0,reject
936,312,163,149,102.0,3.38,0,0,reject
937,315,163,152,105.0,2.65,0,0,reject
938,321,161,160,105.0,2.8,36,0,reject
939,305,163,142,83.0,2.8,24,0,reject
940,312,162,150,100.0,2.4,48,0,reject
941,315,163,152,111.0,2.5,10,0,reject
942,305,160,145,104.0,3.1,2,0,reject
943,307,160,147,102.0,2.76,0,0,reject
944,309,160,149,99.0,2.28,20,0,reject
945,312,162,150,103.0,2.99,40,0,reject
946,304,154,150,95.0,2.44,0,3,reject
947,308,155,153,95.0,2.4,0,0,reject
948,314,159,155,107.0,2.3,30,0,reject
949,308,154,154,96.0,2.25,30,1,reject
950,319,165,154,109.0,2.2,0,1,reject
951,319,165,154,109.0,2.2,0,1,reject
952,328,170,158,115.0,2.68,0,3,reject
953,314,160,154,100.0,3.12,2,0,reject
954,315,163,152,111.0,2.35,23,3,reject
955,309,160,149,91.0,2.48,0,0,reject
956,322,166,156,113.0,3.1,0,0,reject
957,320,168,152,100.0,3.2,0,0,reject
958,304,158,146,94.0,2.84,26,0,reject
959,309,161,148,98.0,3.48,1,0,reject
960,320,170,150,97.0,3.09,18,0,reject
961,308,159,149,98.0,2.01,30,0,reject
962,311,167,144,98.0,3.66,1,0,reject
963,308,162,146,97.0,2.84,0,0,reject
964,306,154,152,95.0,2.5,19,0,reject
965,307,161,146,99.0,3.0,0,0,reject
966,306,160,146,96.0,3.36,6,0,reject
967,316,162,154,104.0,2.78,2,0,reject
968,316,162,154,104.0,2.78,2,0,reject
969,314,165,149,102.0,2.5,54,0,reject
970,309,159,150,103.0,2.45,30,0,reject
971,314,158,156,107.0,2.61,4,0,reject
972,305,159,146,93.0,2.18,30,0,reject
973,298,154,144,65.0,3.26,11,0,reject
974,310,157,153,108.0,1.95,32,0,reject
975,309,166,143,89.0,2.15,23,0,reject
976,320,166,154,111.0,2.98,22,0,reject
977,309,162,147,103.0,2.68,21,3,reject
978,310,163,147,107.0,2.9,0,0,reject
979,316,163,153,107.0,2.6,0,0,reject
980,316,163,153,112.0,2.6,12,3,reject
981,314,158,156,105.0,2.35,20,3,reject
982,309,158,151,106.0,2.5,7,0,reject
983,313,161,152,92.0,3.26,9,0,reject
984,317,161,156,109.0,3.45,6,0,reject
985,317,161,156,109.0,3.45,6,0,reject
986,314,162,152,108.0,3.54,0,0,reject
987,319,162,157,109.0,1.86,0,3,reject
988,316,164,152,104.0,3.0,0,0,reject
989,313,170,143,102.0,3.42,21,0,reject
990,319,165,154,104.0,3.26,0,0,reject
991,311,159,152,100.0,3.6,0,0,reject
992,313,163,150,107.0,3.31,0,0,reject
993,302,157,145,97.0,3.2,24,1,reject
994,321,169,152,108.0,1.96,0,0,reject
995,305,157,148,97.0,2.45,0,0,reject
996,312,163,149,107.0,3.22,0,0,reject
997,313,161,152,113.0,2.6,41,0,reject
998,318,168,150,104.0,2.3,30,3,reject
999,310,164,146,85.0,2.53,6,0,reject
1000,321,167,154,104.0,2.25,18,0,reject
1001,308,158,150,101.0,2.8,22,0,reject
1002,325,168,157,114.0,2.89,0,0,reject
1003,308,161,147,104.0,2.43,24,3,reject
1004,309,155,154,114.0,3.44,0,0,reject
1005,316,162,154,102.0,2.94,60,0,reject
1006,312,163,149,106.0,2.45,17,0,reject
1007,300,155,145,92.0,3.0,36,1,reject
1008,307,162,145,91.0,2.9,2,0,reject
1009,303,154,149,93.0,3.4,0,2,reject
1010,318,167,151,100.0,2.55,24,0,reject
1011,306,158,148,102.0,2.92,0,3,reject
1012,304,160,144,94.0,2.25,0,0,reject
1013,306,157,149,90.0,2.85,0,0,reject
1014,320,168,152,96.0,3.48,5,0,reject
1015,306,161,145,91.0,3.65,20,0,reject
1016,325,166,159,104.0,2.76,2,0,reject
1017,311,163,148,105.0,2.4,0,0,reject
1018,307,162,145,108.0,2.05,0,0,reject
1019,309,159,150,105.0,2.35,0,0,reject
1020,306,162,144,99.0,1.99,10,0,reject
1021,311,164,147,106.0,3.34,1,3,reject
1022,313,155,158,106.0,2.23,0,0,reject
1023,326,170,156,108.0,1.8,0,0,reject
1024,324,165,159,114.0,3.57,30,0,reject
1025,311,164,147,96.0,3.0,6,0,reject
1026,322,162,160,108.0,2.2,0,0,reject
1027,311,158,153,108.0,2.2,15,2,reject
1028,320,168,152,110.0,2.5,30,0,reject
1029,313,166,147,97.0,3.32,0,0,reject
1030,322,168,154,114.0,3.2,0,3,reject
1031,305,157,148,102.0,2.05,0,0,reject
1032,311,161,150,95.0,2.22,0,0,reject
1033,316,164,152,102.0,2.55,30,0,reject
1034,310,161,149,106.0,3.1,0,0,reject
1035,310,161,149,106.0,3.1,0,0,reject
1036,316,161,155,102.0,2.15,20,0,reject
1037,312,163,149,99.0,2.78,0,2,reject
1038,307,159,148,93.0,2.5,0,3,reject
1039,313,161,152,103.0,2.21,0,2,reject
1040,322,165,157,110.0,2.11,0,0,reject
1041,306,158,148,104.0,2.5,30,0,reject
1042,323,163,160,108.0,2.03,20,0,reject
1043,309,159,150,105.0,2.8,0,0,reject
1044,310,165,145,95.0,3.05,32,0,reject
1045,308,158,150,109.0,2.1,0,0,reject
1046,306,159,147,97.0,2.12,10,0,reject
1047,320,163,157,108.0,2.3,0,2,reject
1048,306,161,145,96.0,3.19,0,0,reject
1049,312,162,150,103.0,2.56,0,0,reject
1050,310,160,150,110.0,2.5,0,0,reject
1051,310,160,150,94.0,3.24,0,3,reject
1052,310,160,150,94.0,3.24,0,3,reject
1053,306,161,145,104.0,3.02,22,0,reject
1054,308,159,149,93.0,2.46,30,3,reject
1055,318,165,153,107.0,3.0,0,0,reject
1056,311,164,147,108.0,3.0,0,3,reject
1057,307,160,147,97.0,2.05,10,3,reject
1058,318,164,154,117.0,2.44,30,0,reject
1059,307,155,152,110.0,2.0,12,0,reject
1060,313,162,151,96.0,2.86,0,0,reject
1061,321,167,154,108.0,2.35,10,0,reject
1062,318,168,150,102.0,2.81,10,0,reject
1063,312,166,146,90.0,3.94,10,0,reject
1064,320,165,155,113.0,2.4,14,0,reject
1065,304,161,143,92.0,3.6,24,0,reject
1066,320,168,152,96.0,3.14,20,0,reject
1067,308,158,150,99.0,2.4,16,0,reject
1068,317,167,150,103.0,2.35,30,2,reject
1069,317,167,150,103.0,2.35,30,2,reject
1070,313,163,150,99.0,2.9,30,0,reject
1071,296,158,138,98.0,2.1,30,0,reject
1072,310,165,145,100.0,2.15,30,3,reject
1073,313,162,151,110.0,2.65,30,0,reject
1074,315,163,152,95.0,2.35,30,3,reject
1075,308,163,145,104.0,2.17,30,1,reject
1076,322,170,152,101.0,2.4,30,0,reject
1077,325,169,156,104.0,2.6,30,1,reject
1078,304,157,147,95.0,3.29,30,0,reject
1079,316,164,152,106.0,2.9,9,3,accept
1080,314,163,151,114,3.53,7,3,accept
1081,307,160,147,88.0,3.0,36,0,accept
1082,330,169,161,113.0,2.4,48,3,accept
1083,316,163,153,99.0,2.71,30,0,accept
1084,311,163,148,107.0,3.22,0,0,accept
1085,306,155,151,113.0,3.12,12,0,accept
1086,325,168,157,106.0,2.65,8,3,accept
1087,324,167,157,104.0,3.44,0,0,accept
1088,317,159,158,114.0,3.52,4,1,accept
1089,324,167,157,108.0,3.12,6,2,accept
1090,305,161,144,0,3.28,13,0,accept
1091,324,169,155,112.0,2.88,8,0,accept
1092,318,170,148,102.0,2.8,4,0,accept
1093,312,164,148,65.0,3.68,5,0,accept
1094,319,165,154,99.0,2.87,30,2,accept
1095,306,157,149,100.0,3.56,20,0,accept
1096,304,157,147,95.0,2.82,0,0,accept
1097,306,157,149,111.0,3.55,0,0,accept
1098,332,170,162,115.0,2.75,9,0,accept
1099,317,162,155,101.0,3.46,48,0,accept
1100,309,163,146,102.0,3.1,33,0,accept
1101,320,168,152,99.0,3.3,25,3,accept
1102,305,153,152,107.0,2.75,24,0,accept
1103,323,164,159,110.0,3.12,12,0,accept
1104,318,166,152,104.0,3.47,9,3,accept
1105,327,167,160,115.0,3.19,2,0,accept
1106,320,168,152,107.0,3.52,41,3,accept
1107,324,163,161,110.0,3.64,28,0,accept
1108,311,155,156,101.0,3.13,0,0,accept
1109,318,165,153,112.0,3.66,36,3,accept
1110,315,160,155,106.0,3.76,4,0,accept
1111,321,164,157,104.0,2.88,15,0,accept
1112,317,163,154,112.0,3.4,11,3,accept
1113,332,170,162,114.0,3.28,32,2,accept
1114,316,167,149,103.0,3.45,19,0,accept
1115,313,161,152,106.0,3.33,0,0,accept
1116,315,158,157,100.0,3.0,0,0,accept
1117,316,164,152,98.0,3.26,33,0,accept
1118,319,163,156,112.0,3.4,0,0,accept
1119,318,162,156,108.0,3.8,20,3,accept
1120,322,165,157,118.0,3.56,1,0,accept
1121,312,161,151,108.0,3.33,2,0,accept
1122,320,167,153,107.0,3.5,0,3,accept
1123,318,166,152,110.0,3.14,6,0,accept
1124,320,165,155,108.0,3.46,5,3,accept
1125,318,167,151,108.0,2.94,24,0,accept
1126,320,170,150,107.0,3.68,4,0,accept
1127,315,165,150,114.0,3.8,1,0,accept
1128,308,153,155,75.0,3.21,50,0,accept
1129,310,161,149,100.0,2.92,4,0,accept
1130,338,168,170,119.0,3.68,6,0,accept
1131,315,165,150,105.0,2.59,9,3,accept
1132,313,161,152,114,3.82,1,0,accept
1133,308,156,152,102.0,3.06,7,3,accept
1134,312,162,150,106.0,2.96,0,0,accept
1135,312,163,149,107.0,3.24,25,0,accept
1136,316,163,153,102.0,3.05,6,0,accept
1137,316,165,151,110.0,3.08,9,0,accept
1138,316,164,152,108.0,3.82,3,3,accept
1139,324,169,155,108.0,3.29,30,2,accept
1140,317,161,156,114,2.8,10,0,accept
1141,310,167,143,101,3.19,0,3,accept
1142,329,170,159,108.0,3.38,16,0,accept
1143,310,161,149,106.0,3.14,60,0,accept
1144,316,161,155,101.0,3.5,1,0,accept
1145,316,162,154,100.0,3.46,0,0,accept
1146,317,160,157,111.0,2.61,36,0,accept
1147,321,168,153,109.0,3.27,2,0,accept
1148,318,169,149,100.0,2.89,30,0,accept
1149,311,161,150,102.0,3.66,16,0,accept
1150,319,163,156,113.0,3.44,10,0,accept
1151,325,170,155,110.0,3.44,33,0,accept
1152,320,167,153,104.0,3.46,24,0,accept
1153,320,168,152,101.0,3.44,17,0,accept
1154,327,165,162,109.0,2.87,30,0,accept
1155,314,162,152,104.0,2.96,43,0,accept
1156,319,167,152,110.0,3.14,24,0,accept
1157,326,164,162,110.0,2.96,31,0,accept
1158,327,170,157,109.0,3.33,8,0,accept
1159,320,166,154,102.0,3.42,22,0,accept
1160,314,162,152,105.0,3.47,14,0,accept
1161,306,146,160,101,3.59,60,0,accept
1162,324,170,154,113.0,3.56,31,2,accept
1163,313,164,149,103.0,2.4,27,3,accept
1164,316,164,152,105.0,3.42,24,3,accept
1165,317,165,152,106.0,3.62,0,3,accept
1166,311,163,148,102.0,3.41,28,0,accept
1167,305,160,145,75.0,3.63,6,0,accept
1168,322,155,167,109.0,3.0,20,3,accept
1169,311,160,151,107.0,2.7,60,0,accept
1170,320,165,155,103.0,3.59,4,0,accept
1171,321,167,154,111.0,3.6,6,0,accept
1172,317,166,151,104.0,3.43,6,0,accept
1173,316,164,152,106.0,3.07,28,0,accept
1174,315,164,151,108.0,3.62,1,0,accept
1175,321,163,158,109.0,3.16,44,0,accept
1176,329,166,163,114.0,2.66,18,0,accept
1177,320,170,150,104.0,3.86,2,1,accept
1178,319,163,156,110.0,3.14,60,0,accept
1179,314,162,152,108.0,3.73,2,0,accept
1180,314,166,148,107.0,3.05,18,0,accept
1181,314,160,154,109.0,2.96,24,0,accept
1182,322,168,154,108.0,2.5,7,2,accept
1183,307,158,149,104.0,3.68,1,0,accept
1184,306,157,149,114,3.15,0,3,accept
1185,313,164,149,110.0,2.9,7,0,accept
1186,309,162,147,101,3.8,0,0,accept
1187,317,169,148,75.0,2.88,26,2,accept
1188,315,162,153,109.0,3.89,1,0,accept
1189,318,161,157,114,3.26,33,0,accept
1190,309,160,149,75.0,3.37,30,0,accept
1191,327,168,159,0,3.74,0,0,accept
1192,299,148,151,75.0,2.62,55,0,accept
1193,321,167,154,109.0,3.0,0,0,accept
1194,319,162,157,106.0,3.34,36,0,accept
1195,317,163,154,118.0,3.5,15,2,accept
1196,328,170,158,114.0,2.99,17,0,accept
1197,318,168,150,100.0,3.08,14,0,accept
1198,331,165,166,115.0,2.35,46,0,accept
1199,310,156,154,105.0,3.38,5,3,accept
1200,327,164,163,117.0,3.28,16,0,accept
1201,309,160,149,101,3.5,24,3,accept
1202,317,165,152,114.0,2.64,24,0,accept
1203,313,164,149,75.0,3.57,12,0,accept
1204,314,159,155,111.0,2.7,52,0,accept
1205,321,170,151,100.0,3.36,3,0,accept
