Institution,financial,customers,identity,data,institutions,market,services,platforms,customer,digital,information,traditional,bank,world,insurance,risk,products,investors,payment,investment,economic,forum,capital,systems,management,lending,transactions,technology,potential,business,regulatory,intermediaries,solutions,service,incumbents,asset,global,platform,equity,smart,credit,industry,trade,infrastructure,models,trading,transfer,transaction,automated,product,markets,banking,online,ecosystem,firms,attributes,mobile,scale,investor,distributed,core,impact,critical,focus,sources,network,contract,lenders,distribution,offer,capabilities,project,benefits,experience,development,schemes,lead,compliance,conditions,settlement,innovation,shift,control,loan,retail,managers,fintechs,entity,competitive,innovations,companies,ledger,growth,cloud,ai,intelligence
Bank of America,47733.0,10793.0,32.0,3446.0,436.0,2893.0,10027.0,2969.0,6073.0,354.0,0.0,22.0,15429.0,0.0,850.0,3136.0,13117.0,19.0,52.0,12838.0,198.0,0.0,310.0,737.0,14942.0,11486.0,5008.0,6406.0,3127.0,24720.0,3726.0,9.0,16282.0,8546.0,270.0,553.0,1337.0,1506.0,98.0,230.0,3769.0,6797.0,253.0,235.0,521.0,160.0,108.0,691.0,104.0,2172.0,505.0,10025.0,1082.0,22.0,57.0,13.0,1093.0,702.0,25.0,52.0,1646.0,716.0,2371.0,2933.0,1037.0,4623.0,35.0,1195.0,24.0,1149.0,1194.0,1161.0,712.0,19418.0,12501.0,0.0,750.0,1981.0,771.0,26.0,132.0,78.0,808.0,7789.0,1861.0,4287.0,2.0,27.0,40.0,7.0,519.0,14.0,5383.0,29.0,20.0,101.0
JP MORGAN,20862.0,15465.0,231.0,9768.0,2073.0,2672.0,14077.0,919.0,10285.0,1633.0,7258.0,197.0,5689.0,4821.0,246.0,7743.0,7443.0,946.0,619.0,8266.0,137.0,27.0,2303.0,2891.0,18906.0,3416.0,1766.0,17985.0,623.0,21208.0,4204.0,167.0,14296.0,9078.0,10.0,4092.0,10194.0,1443.0,1095.0,162.0,3814.0,4275.0,778.0,2840.0,864.0,876.0,179.0,1985.0,392.0,5491.0,2580.0,15049.0,1027.0,133.0,195.0,104.0,1928.0,751.0,792.0,669.0,1351.0,2844.0,1880.0,1747.0,534.0,1417.0,67.0,29.0,190.0,4218.0,2140.0,4058.0,2211.0,21436.0,11474.0,11.0,3379.0,4907.0,66.0,200.0,946.0,166.0,4181.0,2188.0,2025.0,1782.0,4.0,239.0,1941.0,1217.0,2852.0,195.0,1898.0,2606.0,62.0,337.0
