Institution,fintech,customers,data,services,platforms,digital,information,investment,risk,future,technology,opportunities,users,solutions,global,equity,platform,service,automated,network,individuals,development,experience,innovation,compliance,improve,fintechs,innovations,emerging,competitive,connected,growth,competition,technologies,model,reduce,efficiency,strategy,solution,strategies,ownership,develop,experts,savings,deliver,social,security,automation,analysis,leading,revenue,reducing,disruptive,delivery,consumers,startups,analytics,ai,algorithmic,accuracy,professional,operating,profitability,potentially,streamlined,governance,standardized,innovative,automate,reporting,privacy,perform,expertise,research,blockchain,improvements,consumer,algorithms,innovators,technological,knowledge,leadership,cloud,challenging,statistics,cyber,specialized,analytical,cryptographic,web,scalable,fraudulent,products,intelligence,capital,audit,stakeholders,business,asset,mobile,implementation,applications,virtual,ecosystems
Bank of America,4.0,10793.0,3446.0,10027.0,2969.0,354.0,0.0,12838.0,3136.0,375.0,6406.0,9253.0,74.0,16282.0,1337.0,98.0,1506.0,8546.0,104.0,4623.0,1281.0,12501.0,19418.0,132.0,1981.0,806.0,2.0,7.0,202.0,40.0,995.0,5383.0,5.0,2268.0,1132.0,30.0,68.0,1236.0,159.0,6248.0,367.0,5364.0,2597.0,19.0,5063.0,31.0,1233.0,303.0,1205.0,4049.0,677.0,9.0,0.0,1243.0,15.0,1.0,599.0,20.0,1.0,695.0,8186.0,402.0,338.0,0.0,3.0,314.0,5.0,179.0,36.0,1082.0,1.0,1183.0,2242.0,0.0,0.0,152.0,3091.0,15.0,0.0,20.0,7105.0,2443.0,29.0,160.0,45.0,186.0,482.0,683.0,0.0,192.0,20.0,23.0,13117.0,101.0,310.0,332.0,221.0,24720.0,553.0,1093.0,673.0,1459.0,456.0,0.0
JP MORGAN,85.0,15465.0,9768.0,14077.0,919.0,1633.0,7258.0,8266.0,7743.0,442.0,17985.0,2528.0,585.0,14296.0,10194.0,1095.0,1443.0,9078.0,392.0,1417.0,1491.0,11474.0,21436.0,946.0,4907.0,2469.0,4.0,1217.0,370.0,1941.0,76.0,1898.0,19.0,2058.0,1175.0,218.0,530.0,1933.0,709.0,895.0,1634.0,4355.0,796.0,23.0,2717.0,143.0,1922.0,1085.0,3381.0,2820.0,723.0,58.0,6.0,2657.0,2508.0,9.0,2047.0,62.0,24.0,1197.0,3186.0,1538.0,150.0,50.0,78.0,986.0,74.0,2900.0,171.0,3484.0,64.0,862.0,2065.0,1393.0,42.0,454.0,1384.0,130.0,1554.0,84.0,8021.0,1984.0,2606.0,251.0,188.0,207.0,1091.0,2217.0,20.0,1158.0,280.0,22.0,7443.0,337.0,2303.0,1069.0,2671.0,21208.0,4092.0,1928.0,1771.0,2637.0,130.0,18.0
