Institution,insurance,data,payments,payment,digital,transaction,platforms,Payment Platform,models,model,modelling,ledger,distributed,Distributed Ledger,compliance,analytics
Bank of America,850,3446,155,52,354,691,2969,3176,521,1132,16,14,52,66,1981,599
JP MORGAN,246,9768,2070,619,1633,1985,919,3608,864,1175,144,195,669,864,4907,2047
