AE,2
AR,105
AU,9
BE,1
BR,10
CA,10
CH,8
CL,2
CN,32
CO,1
DE,9
ES,2
FR,3
GB,3
HK,56
ID,1
IE,13
IL,12
IN,668
JP,4
KR,8
LU,25
MX,11
MY,5
NG,1
NL,1
PE,2
PH,56
PL,48
RU,1
SA,2
SG,66
TH,1
TW,2
UK,309
US,3102
ZA,1
